id,question,intent,primary_output_files,supporting_files,solver_first
84,"Find customer tiers with highest partial fulfillment",AllocationPriorityExplain,"by_if_snop_out_inddmdview","if_snop_customer",Y
85,"Which demands were deprioritized due to capacity scarcity?",AllocationPriorityExplain,"by_if_snop_out_resloadinddmdlink","by_if_snop_out_resexception",Y
86,"Show allocation by customer and location for constrained items",AllocationPriorityExplain,"by_if_snop_out_inddmdview","if_snop_customer",Y
87,"Identify priority inversions where lower priority demand got higher schedule qty",AllocationPriorityExplain,"by_if_snop_out_inddmdview","",Y
88,"Which demand groups consumed available supply first?",AllocationPriorityExplain,"by_if_snop_out_inddmdlink","",Y
89,"How did allocation outcomes change between solve versions?",AllocationPriorityExplain,"by_if_snop_out_inddmdview","by_if_snop_out_por",Y
90,"List customers with repeated unmet demand across weeks",AllocationPriorityExplain,"by_if_snop_out_inddmdview","if_snop_customer",Y
91,"How much forecast was consumed by customer orders by item?",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","if_snop_dfutoskufcst; if_snop_customerorder",Y
92,"Show forecast orders with high consumed quantity but unmet demand",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","by_if_snop_out_inddmdview",Y
93,"Which forecast demand groups are consistently under-fulfilled?",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","by_if_snop_out_inddmdview",Y
94,"Compare forecast consumption across locations",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","if_snop_dfutoskufcst",Y
95,"What is the lag between forecast need date and scheduled fulfillment?",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","by_if_snop_out_inddmdview",Y
96,"Find forecast demand driving most planned production",ForecastConsumptionExplain,"by_if_snop_out_inddmdlink","by_if_snop_out_planorder; by_if_snop_out_fcstorder",Y
97,"Show forecast-driven planned purchases by week",ForecastConsumptionExplain,"by_if_snop_out_inddmdlink","by_if_snop_out_planpurch; by_if_snop_out_fcstorder",Y
98,"Which forecast types have highest unmet quantity?",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","by_if_snop_out_inddmdview",Y
99,"How do upside forecast priorities impact fulfillment outcomes?",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","by_if_snop_out_inddmdview",Y
100,"Detect forecast overconsumption versus baseline forecast volume",ForecastConsumptionExplain,"by_if_snop_out_fcstorder","if_snop_dfutoskufcst",Y
